id;name;price;core_count;core_clock;boost_clock;tdp;graphics;smt;socket
2604;Phenom II X4 960T Black;;4;3;;95;;f;test
2611;5350;;4;2.05;;25;Radeon HD 8400;f;test
2613;Sempron X2 198;;2;2.5;;65;;f;test
2614;Sempron X2 198;;2;2.5;;65;;f;test
2615;Sempron X2 190;;2;2.5;;45;;f;test
2621;Celeron G470;;1;2;;35;HD Graphics;t;test
2622;FX-4200;;4;3.3;;125;;f;test
2629;Xeon E5-1660 V2;;6;3.7;4;130;;t;test
2638;Xeon E5-2603 V2;;4;1.8;;80;;f;test
2639;Xeon E3-1245 V3;;4;3.4;3.8;84;HD Graphics P4600;t;test
2644;Xeon E3-1225 V5;;4;3.3;3.7;80;HD Graphics P530;f;test
2657;Xeon E5-2440V2;;8;1.9;2.4;95;;t;test
2660;Xeon E-2146G;988;6;3.5;4.5;80;HD Graphics P630;t;test
